,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,cluster,cluster_predicted,dbscan_cluster
19632,No,Si,No,Si,Si,Si,0,1,3
19633,Si,Si,No,No,No,Si,1,2,0
19634,No,Si,No,No,Si,Si,0,1,13
19635,No,Si,No,No,No,Si,1,1,1
19636,No,Si,No,Si,No,Si,2,1,9
19637,Si,Si,Si,Si,No,Si,2,0,20
19638,Si,No,No,No,No,Si,1,2,6
19639,Si,Si,No,No,No,Si,1,2,0
19640,Si,Si,No,No,No,Si,1,2,0
19641,Si,Si,No,No,No,Si,1,2,0
19642,No,Si,No,No,No,Si,1,1,1
19643,Si,Si,No,No,No,Si,1,2,0
19644,Si,Si,No,No,No,Si,1,2,0
19645,No,Si,No,Si,No,Si,2,1,9
19646,Si,Si,No,Si,No,Si,2,0,2
19647,Si,Si,No,Si,No,Si,2,0,2
19648,Si,Si,No,No,No,Si,1,2,0
19649,Si,Si,No,Si,No,Si,2,0,2
19650,Si,Si,No,Si,No,Si,2,0,2
19651,Si,Si,No,No,No,Si,1,2,0
19652,Si,Si,No,No,No,Si,1,2,0
19653,Si,Si,No,Si,No,Si,2,0,2
19654,No,No,No,Si,No,Si,2,1,49
19655,No,Si,No,Si,Si,Si,0,1,3
19656,No,Si,No,Si,No,Si,2,1,9
19657,Si,Si,No,No,No,Si,1,2,0
19658,Si,Si,No,Si,Si,Si,0,0,5
19659,Si,Si,No,No,No,Si,1,2,0
19660,Si,Si,No,Si,No,Si,2,0,2
19661,Si,Si,No,Si,No,Si,2,0,2
19662,Si,Si,No,No,Si,Si,0,2,4
19663,No,Si,No,Si,Si,Si,0,1,3
19664,Si,Si,No,No,No,Si,1,2,0
19665,No,Si,Si,Si,No,Si,2,1,36
19666,Si,Si,No,No,Si,Si,0,2,4
19667,Si,Si,No,Si,Si,Si,0,0,5
19668,No,Si,No,Si,Si,Si,0,1,3
19669,No,Si,No,Si,No,Si,2,1,9
19670,Si,Si,No,Si,No,Si,2,0,2
19671,Si,Si,No,No,Si,Si,0,2,4
19672,Si,Si,No,No,No,Si,1,2,0
19673,No,Si,No,No,Si,Si,0,1,13
19674,No,Si,No,No,Si,No,0,1,24
19675,No,Si,No,No,Si,No,0,1,24
19676,Si,Si,No,No,No,Si,1,2,0
19677,No,Si,No,No,No,Si,1,1,1
19678,No,Si,No,No,No,No,1,1,17
19679,No,Si,No,Si,Si,Si,0,1,3
19680,No,Si,No,Si,Si,Si,0,1,3
19681,Si,Si,No,No,No,Si,1,2,0
19682,Si,Si,Si,Si,Si,Si,0,0,7
19683,Si,Si,No,No,Si,No,0,2,14
19684,Si,Si,No,Si,Si,Si,0,0,5
19685,No,Si,No,Si,Si,No,0,1,32
